,respondentname,parentname,hmda_id,advertiser,parent,advertiser_id,score
68234.0,1ST MEDALLION MORTGAGE CORP,1ST MEDALLION MORTGAGE CORP,2-0003442889,FIRST MN MORTGAGE,FIRST MN MORTGAGE CORP,10505.0,86.14540340188415
68237.0,VISIONBANK OF IOWA,VISIONBANK OF IOWA,2-0003462092,,,,
68240.0,FIRST WISCONSIN BANK AND TRUST,FIRST WISCONSIN BANK AND TRUST,2-0003540226,,,,
68241.0,TRISUMMIT BANK,TRISUMMIT BANK,2-0003546899,,,,
68243.0,CAPITALMARK BANK & TRUST,CAPITALMARK BANK & TRUST,2-0003560783,,,,
68245.0,FOOTHILLS BANK & TRUST,FOOTHILLS BANK & TRUST,2-0003597592,Foothills Bank & Trust,Foothills Bank & Trust,65099.0,100.0
68246.0,DB PRIVATE WEATH MORTGAGE LTD.,DB PRIVATE WEATH MORTGAGE LTD.,2-0003599970,,,,
68247.0,LONE STAR STATE BANK OF WTX,LONE STAR STATE BANK OF WTX,2-0003607062,,,,
68249.0,MORTGAGE LION  INC.,MORTGAGE LION  INC.,2-0003643341,,,,
68250.0,BMC MORTGAGE SERVICES  INC.,BMC MORTGAGE SERVICES  INC.,2-0003693533,BNC Mortgage Inc,BNC Mortgage Inc,26281.0,89.20840764788339
68251.0,THE MORTGAGE BANK OF ARKANSAS,THE MORTGAGE BANK OF ARKANSAS,2-0003727586,,,,
68284.0,LUANA SAVINGS BANK,LUANA SAVINGS BANK,3-0000000253,Luana Savings Bank,Luana Savings Bank,94408.0,100.0
68302.0,PENN SECURITY BANK & TRUST CO.,PENN SECURITY BANK & TRUST CO.,3-0000000463,Security Bank & Trust Co,Security Bank & Trust Co,89687.0,86.17754094524322
68329.0,WOOD_HUSTON,WOOD_HUSTON,3-0000001060,,,,
68333.0,MORRILL AND JANES BANK,MORRILL AND JANES BANK,3-0000001143,,,,
68346.0,EVOLVE BANK & TRUST,EVOLVE BANK & TRUST,3-0000001299,,,,
68354.0,BANK OF RINGGOLD,BANK OF RINGGOLD,3-0000001377,,,,
68370.0,DIAMOND BANK,DIAMOND BANK,3-0000001527,Diamond Bank,Diamond Bank,45627.0,100.0
68377.0,SUMMIT BANK OF KANSAS CITY,SUMMIT BANK OF KANSAS CITY,3-0000001627,,,,
68384.0,HOVEN,HOVEN,3-0000001678,,,,
68429.0,AVB BANK,AVB BANK,3-0000002326,AVB Bank,AVB Bank,72104.0,100.0
68432.0,COMMERCIAL STATE BANK OF EL CA,COMMERCIAL STATE BANK OF EL CA,3-0000002409,,,,
68440.0,TRADITIONAL BANK,TRADITIONAL BANK,3-0000002711,Traditional Bank,Traditional Bank,16786.0,100.0
68447.0,POINTS WEST COMMUNITY BANK,POINTS WEST COMMUNITY BANK,3-0000003031,Points West Community Bank,Points West Community Bank,154729.0,100.0
68456.0,HORIZON BANK  SSB,HORIZON BANK  SSB,3-0000003256,Horizon Bank,Horizon Bank,1951.0,82.29436331674637
68469.0,HOT SPRINGS BANK & TRUST,HOT SPRINGS BANK & TRUST,3-0000003855,,,,
68472.0,NBC OKLAHOMA,NBC OKLAHOMA,3-0000004032,,,,
68508.0,HOMEBANK OF AR,HOMEBANK OF AR,3-0000005629,,,,
68548.0,CLAYTON BANK & TRUST,CLAYTON BANK & TRUST,3-0000006104,,,,
68549.0,AVENUE BANK,AVENUE BANK,3-0000006106,Avenue Bank,Avenue Bank,63414.0,100.0
68566.0,VIST BANK,VIST BANK,3-0000007748,,,,
68569.0,MARION CENTER BANK,MARION CENTER BANK,3-0000007909,Marion Center Bank,Marion Center Bank,137545.0,100.0
68621.0,FARMERS TRUST AND SAVINGS BANK,FARMERS TRUST AND SAVINGS BANK,3-0000008510,,,,
68666.0,BANK FORWARD,BANK FORWARD,3-0000008941,Bank Forward,Bank Forward,82060.0,100.0
68671.0,CALHOUN COUNTY BANK  INC,CALHOUN COUNTY BANK  INC,3-0000009024,,,,
68673.0,MOUND CITY BANK,MOUND CITY BANK,3-0000009037,,,,
68677.0,PLANTERSFIRST,PLANTERSFIRST,3-0000009064,PartnersFirst,PartnersFirst,79846.0,81.35516737296028
68678.0,FIRST BANK OF PIKE,FIRST BANK OF PIKE,3-0000009070,,,,
68702.0,PBI BANK  INC,PBI BANK  INC,3-0000009314,,,,
68712.0,MISSOURI BANK & TRUST,MISSOURI BANK & TRUST,3-0000009387,,,,
68732.0,STATE BANK OF DOWNS,STATE BANK OF DOWNS,3-0000009659,,,,
68735.0,EDMONTON STATE BANK,EDMONTON STATE BANK,3-0000009678,,,,
68774.0,COMMONWEALTH BANK & TRUST COMP,COMMONWEALTH BANK & TRUST COMP,3-0000010146,Commonwealth Bank & Trust,Commonwealth Bank & Trust Co,36096.0,94.80628865415783
68850.0,LEGENCE BANK,LEGENCE BANK,3-0000010886,Legence Bank First Rewards Checking,Legence Bank,75179.0,100.0
68883.0,JOY STATE BANK,JOY STATE BANK,3-0000011329,,,,
68899.0,TRI-COUNTY TRUST COMPANY,TRI-COUNTY TRUST COMPANY,3-0000011465,,,,
68939.0,MERIDIAN BANK TEXAS,MERIDIAN BANK TEXAS,3-0000011895,Meridian Bank,Meridian Bank,37941.0,80.46922752618025
68950.0,SOUTH SIDE TRUST &SAVINGS BANK,SOUTH SIDE TRUST &SAVINGS BANK,3-0000012082,,,,
68956.0,MONROE BANK AND TRUST,MONROE BANK AND TRUST,3-0000012181,Monroe B&T,Monroe Bank & Trust,2627.0,88.22963373374978
69011.0,STATE BANK OF WITHEE,STATE BANK OF WITHEE,3-0000012779,,,,
69066.0,POINTWEST BANK,POINTWEST BANK,3-0000013600,Point West Bank,Point West Bank,98835.0,94.84827077285716
69080.0,THE PLEASANT HILL,THE PLEASANT HILL,3-0000013915,,,,
69102.0,THE BANK OF BONIFAY - BONIFAY,THE BANK OF BONIFAY - BONIFAY,3-0000014246,,,,
69179.0,SIMMONS FIRST BANK - NWA,SIMMONS FIRST BANK - NWA,3-0000015233,,,,
69188.0,C B & S BANK,C B & S BANK,3-0000015310,,,,
69197.0,AMERICAN BANK OF MISSOURI,AMERICAN BANK OF MISSOURI,3-0000015423,,,,
69205.0,FIRST STATE BANK OF BLAKELY IN,FIRST STATE BANK OF BLAKELY IN,3-0000015496,First State Bank Of IL,First State Bank Of IL,18906.0,81.44324945182242
69224.0,ALLIANCE BANK CENTRAL TEXAS,ALLIANCE BANK CENTRAL TEXAS,3-0000015657,,,,
69228.0,BENEFICIAL BANK,BENEFICIAL BANK,3-0000015697,Beneficial State Bank,Beneficial State Bank,181543.0,80.46128333838247
69235.0,PEOPLES BANK OF MONITEAU CO.,PEOPLES BANK OF MONITEAU CO.,3-0000015792,,,,
69278.0,CITIZENS STATE BANK OF FINLEY,CITIZENS STATE BANK OF FINLEY,3-0000016187,Citizens State Bank Of Cropsey,Citizens State Bank Of Cropsey,82755.0,84.69657807384898
69280.0,RELIABANK DAKOTA,RELIABANK DAKOTA,3-0000016221,,,,
69304.0,ACCESS BANK,ACCESS BANK,3-0000016476,Accessbank,Accessbank,35115.0,92.93095956244703
69347.0,FIRST STATE BANK OF BEDIAS,FIRST STATE BANK OF BEDIAS,3-0000016895,First State Bank,First State Banks,1604.0,85.44278210174555
69356.0,BANK OF BILLINGS,BANK OF BILLINGS,3-0000016959,,,,
69360.0,FIRST SECURITY BANK & TRUST,FIRST SECURITY BANK & TRUST,3-0000017001,1st Security Bank,1st Security Bank Of WA,44219.0,85.1545918355822
69394.0,CARSON BANK,CARSON BANK,3-0000017369,,,,
69405.0,BANTERRA BANK,BANTERRA BANK,3-0000017514,Banterra Bank,Banterra Bank,17819.0,100.0
69429.0,GUARANTY BANK_TRUST,GUARANTY BANK_TRUST,3-0000017767,,,,
69437.0,BANK OF L0UISIANA,BANK OF L0UISIANA,3-0000017878,,,,
69463.0,COREFIRST BANK & TRUST,COREFIRST BANK & TRUST,3-0000018100,Corefirst Bank & Trust,CoreFirst Bank & Trust,82923.0,100.0
69470.0,FIRST BK & TRST OF INDIANTOWN,FIRST BK & TRST OF INDIANTOWN,3-0000018149,,,,
69489.0,FIRSTCITYBANK,FIRSTCITYBANK,3-0000018243,Firstcity Bank,Firstcity Bank,55669.0,84.43897094994144
69502.0,BLACKHAWK BANK & TRUST,BLACKHAWK BANK & TRUST,3-0000018402,Blackhawk Bank & Trust,Blackhawk Bank & Trust,72757.0,100.0
69532.0,SUNDOWN STATE BANK,SUNDOWN STATE BANK,3-0000018780,Union State Bank,Union State Bank,8739.0,83.58896041596078
69536.0,WEST SIDE BANK & TRUST,WEST SIDE BANK & TRUST,3-0000018915,,,,
69558.0,AMERICAN BANK & TRUST CO.  INC,AMERICAN BANK & TRUST CO.  INC,3-0000019234,,,,
69561.0,SEAWAY BANK AND TRUST COMPANY,SEAWAY BANK AND TRUST COMPANY,3-0000019328,,,,
69580.0,HIGH TRUST BANK,HIGH TRUST BANK,3-0000019554,,,,
69616.0,KANSAS STATE BANK OF MANHATTAN,KANSAS STATE BANK OF MANHATTAN,3-0000019899,,,,
69636.0,IN BANK,IN BANK,3-0000020203,Ion Bank,Ion Bank,125450.0,87.54003745879731
69639.0,PINNACNLE BANK,PINNACNLE BANK,3-0000020231,,,,
69670.0,FIRST TEXAS BANK-ROUND ROCK,FIRST TEXAS BANK-ROUND ROCK,3-0000020825,,,,
69673.0,COASTAL BK AND TST OF FLORIDA,COASTAL BK AND TST OF FLORIDA,3-0000020830,,,,
69691.0,PEOPLESSOUTH,PEOPLESSOUTH,3-0000021292,PeoplesSouth Bank,PeoplesSouth Bank,166486.0,81.76768875931874
69729.0,MAGNOLIA STATE BANK,MAGNOLIA STATE BANK,3-0000022081,Magnolia State Bank,Magnolia State Bank,94513.0,100.0
69731.0,EASTERN BANK FOR MASSBANK,EASTERN BANK FOR MASSBANK,3-0000022089,,,,
69738.0,COLONY BANK,COLONY BANK,3-0000022257,Colony Bank,Colony Bank,54905.0,100.0
69742.0,SPIRIT OF TEXAS BANK,SPIRIT OF TEXAS BANK,3-0000022327,Spirit Of TX Bank,Spirit Of TX Bank,120829.0,87.51878372050473
69750.0,INLAND BANK,INLAND BANK,3-0000022444,,,,
69758.0,PEOPLES BANK OF ALABAMA,PEOPLES BANK OF ALABAMA,3-0000022537,Peoples Bank Of AL,Peoples Bank Of AL,154634.0,82.98250389128486
69763.0,KENNEY BANK & TRUST,KENNEY BANK & TRUST,3-0000022609,,,,
69770.0,NEVADA BANK & TRUST,NEVADA BANK & TRUST,3-0000022669,Nevada Bank & Trust,Nevada Bank & Trust,196811.0,100.0
69807.0,SOUTH COASTAL ABNK,SOUTH COASTAL ABNK,3-0000023345,,,,
69809.0,FIRST JACKSON BANK,FIRST JACKSON BANK,3-0000023376,,,,
69845.0,GRAND VALLEY BANK,GRAND VALLEY BANK,3-0000024922,,,,
69860.0,PEOPLES  BANK OF LOUISIANA,PEOPLES  BANK OF LOUISIANA,3-0000025720,,,,
69944.0,RIVER CITY BANK  INC.,RIVER CITY BANK  INC.,3-0000026703,,,,
69952.0,EVA BANK,EVA BANK,3-0000026799,,,,
69973.0,NOVA BANK,NOVA BANK,3-0000027148,,,,
69995.0,COMM BANK OF THE OZARKS,COMM BANK OF THE OZARKS,3-0000027331,,,,
70010.0,FIRST BANK MORTGAGE,FIRST BANK MORTGAGE,3-0000027423,First Mortgage Services,First Mortgage Services,183247.0,80.75491064852012
70013.0,SOUTH CENTRAL BANK BOWLING,SOUTH CENTRAL BANK BOWLING,3-0000027485,,,,
70033.0,BRIDGET L. MOORE,BRIDGET L. MOORE,3-0000027723,,,,
70055.0,FIDELITY HOMESTEAD SAVING BANK,FIDELITY HOMESTEAD SAVING BANK,3-0000028316,Nola Lending Group,Fidelity Homestead Savings Bank,27432.0,98.15304646403233
70058.0,CAPE BANK,CAPE BANK,3-0000028395,,,,
70063.0,WATERSTONE BANK SSB,WATERSTONE BANK SSB,3-0000028513,Waterstone Mortgage Corp,WaterStone Bank,62784.0,85.95242465197815
70115.0,HIBERNIA HOMESTEAD BANK,HIBERNIA HOMESTEAD BANK,3-0000029831,,,,
70121.0,CF BANCORP,CF BANCORP,3-0000030005,,,,
70127.0,COATESVILLE SAVINS BANK,COATESVILLE SAVINS BANK,3-0000030085,Coatesville Savings Bank,Coatesville Savings Bank,966.0,97.35170206074204
70153.0,TEXAS SAVINGS BANK  S.S.B.,TEXAS SAVINGS BANK  S.S.B.,3-0000030951,,,,
70167.0,FIRST STAR BANK,FIRST STAR BANK,3-0000031595,First Star Bank,First Star Bank,83685.0,100.0
70199.0,ENTERPRISE BANK OF FLORIDA,ENTERPRISE BANK OF FLORIDA,3-0000032917,,,,
70210.0,HERITAGE BANK  INC,HERITAGE BANK  INC,3-0000033119,,,,
70226.0,ARBOR BANK,ARBOR BANK,3-0000033450,,,,
70248.0,FIRST COMMUNITY BANK OF E TN,FIRST COMMUNITY BANK OF E TN,3-0000033794,,,,
70252.0,THE BANK-OLDHAM COUNTY INC,THE BANK-OLDHAM COUNTY INC,3-0000033829,,,,
70259.0,CHRISTIANA BANK AND TRUST,CHRISTIANA BANK AND TRUST,3-0000033875,,,,
70263.0,CAPITOL CITY BANK & TRUST,CAPITOL CITY BANK & TRUST,3-0000033938,Capitol City Bank & Trust,Capitol City Bank & Trust Co,82572.0,85.72334189275571
70268.0,CITIZENS BANK OF NORTHERN CA,CITIZENS BANK OF NORTHERN CA,3-0000033983,Citizens Bank Of Northern KY,Citizens Bank Of Northern KY Inc,64192.0,86.20384023523174
70306.0,SYNOVUS BANK,SYNOVUS BANK,3-0000034172,,,,
70310.0,APPLIED BANK,APPLIED BANK,3-0000034193,Applied Bank,Applied Bank,63358.0,100.0
70314.0,COMMUNITY BANK CBD,COMMUNITY BANK CBD,3-0000034220,Community Bank,Community Bank,1003.0,86.12863268169723
70370.0,TWO RIVERS BANK,TWO RIVERS BANK,3-0000034468,Two Rivers Bank,Two Rivers Bank,80965.0,100.0
70371.0,SIMMONS FIRST BANK-HOT SPRINGS,SIMMONS FIRST BANK-HOT SPRINGS,3-0000034473,,,,
70373.0,HIAWATHA BANK AND TRUST,HIAWATHA BANK AND TRUST,3-0000034488,,,,
70417.0,TOWN COMMUNITY BANK & TRUST,TOWN COMMUNITY BANK & TRUST,3-0000034705,Community Bank & Trust,Community Bank & Trust,1005.0,83.75945046125811
70506.0,HERITAGE COMMUNITY  BANK,HERITAGE COMMUNITY  BANK,3-0000035076,,,,
70514.0,IDAHO TRUST BANK,IDAHO TRUST BANK,3-0000035103,,,,
70522.0,COMMUNITY TRUST & BANKING C,COMMUNITY TRUST & BANKING C,3-0000035138,,,,
70523.0,SEATTLE BANK,SEATTLE BANK,3-0000035139,Seattle Savings Bank,Seattle Bank,8281.0,100.0
70526.0,TRUSTATLANTIC BANK,TRUSTATLANTIC BANK,3-0000035163,,,,
70537.0,EVERGREEN BANK GROUP,EVERGREEN BANK GROUP,3-0000035230,Evergreen Bank,Evergreen Bank,1343.0,82.8624517304529
70549.0,THE BANK OF GOERGIA,THE BANK OF GOERGIA,3-0000035259,Bank Of Georgia,Bank Of Georgia,193492.0,91.68496836856251
70574.0,RED ROCK COMMUNITY BANK,RED ROCK COMMUNITY BANK,3-0000035357,,,,
70577.0,BANK OF OAKRIDGE,BANK OF OAKRIDGE,3-0000035365,Bank Of Oak Ridge,Bank Of Oak Ridge,509.0,94.62655450349723
70582.0,THE BANK OF HENDERSON,THE BANK OF HENDERSON,3-0000035380,Bank Of Henderson,Bank Of Henderson,82100.0,100.0
70583.0,RUMSON-FAIR HAVEN BANK AND TRU,RUMSON-FAIR HAVEN BANK AND TRU,3-0000035381,,,,
70607.0,PROFICIO BANK,PROFICIO BANK,3-0000035495,Proficio Bank,Proficio Bank,120148.0,100.0
70625.0,UNION CREDITBANK,UNION CREDITBANK,3-0000035599,,,,
70654.0,TRADITIONS FIRST BANK,TRADITIONS FIRST BANK,3-0000057092,,,,
70662.0,FIRST COMMUNITY BANK OF CENTRA,FIRST COMMUNITY BANK OF CENTRA,3-0000057124,,,,
70668.0,APPLE VALLEY BANK & TRUST CO.,APPLE VALLEY BANK & TRUST CO.,3-0000057138,,,,
70676.0,AMERICAN PATRIOT BANK,AMERICAN PATRIOT BANK,3-0000057169,,,,
70687.0,INTERNATIONAL BANK,INTERNATIONAL BANK,3-0000057223,Intl City Bank,Intl City Bank Na,2067.0,86.90248562727425
70694.0,ONE ATLANTIC CENTER SUITE 1600,ONE ATLANTIC CENTER SUITE 1600,3-0000057256,,,,
70704.0,UNITED COMMUNITY BANK OF WEST,UNITED COMMUNITY BANK OF WEST,3-0000057301,,,,
70706.0,STIFEL BANK AND TRUST,STIFEL BANK AND TRUST,3-0000057311,,,,
70710.0,SECURITY BANK OF GWINNETT COUN,SECURITY BANK OF GWINNETT COUN,3-0000057346,,,,
70711.0,SOUTHEAST BANK & TRUST,SOUTHEAST BANK & TRUST,3-0000057348,,,,
70716.0,CHEYENNE STATE BANK,CHEYENNE STATE BANK,3-0000057363,,,,
70722.0,FLORIDIAN COMMUNITY BANK,FLORIDIAN COMMUNITY BANK,3-0000057382,Floridian Community Bank,Floridian Community Bank,36828.0,100.0
70726.0,HORIZON COMMUNITY BANK,HORIZON COMMUNITY BANK,3-0000057411,Union Community Bank,Union Community Bank,121366.0,80.46591732965527
70730.0,SEACOAST COMMERCE BANK,SEACOAST COMMERCE BANK,3-0000057428,Seacoast Commerce Bank,Seacoast Commerce Bank,34109.0,100.0
70736.0,AMERICAN CONTINENTAL BANK,AMERICAN CONTINENTAL BANK,3-0000057444,,,,
70740.0,CT RIVER COMMUNITY BANK,CT RIVER COMMUNITY BANK,3-0000057475,Two River Community Bank,Two River Community Bank,8651.0,85.05714796450553
70748.0,THE PRIVATE BANK THE PENINSULA,THE PRIVATE BANK THE PENINSULA,3-0000057510,Private Bank Of The Peninsula,Private Bank Of The Peninsula,80017.0,98.03397118969227
70762.0,TRADITIONS BANK,TRADITIONS BANK,3-0000057554,Tradition Bank,Tradition Bank,80904.0,95.06395748616386
70764.0,FREEDOM BANK OF GEORGIA,FREEDOM BANK OF GEORGIA,3-0000057558,,,,
70770.0,GOLDEN STATE BANK,GOLDEN STATE BANK,3-0000057585,Solon State Bank,Solon State Bank,202716.0,80.35817742217112
70775.0,MAINSTREET COMMUNITY BK OF FLA,MAINSTREET COMMUNITY BK OF FLA,3-0000057598,,,,
70804.0,MOUNTAIN VALLEY COMMUNITY BANK,MOUNTAIN VALLEY COMMUNITY BANK,3-0000057711,Oak Valley Community Bank,Oak Valley Community Bank,85399.0,81.64295312867192
70806.0,BAY COMMERCIAL BANK,BAY COMMERCIAL BANK,3-0000057716,Bay Commercial Bank,Bay Commercial Bank,91570.0,100.0
70830.0,FIRST SOUND BANK,FIRST SOUND BANK,3-0000057799,First Sound Bank,First Sound Bank,183288.0,100.0
70851.0,THURSTON FIRST BANK,THURSTON FIRST BANK,3-0000057862,Thurston First Bank,Thurston First Bank,90105.0,100.0
70853.0,COMMUNITYSOUTH BANK AND TRUST,COMMUNITYSOUTH BANK AND TRUST,3-0000057868,CommunitySouth Bank & Trust,Community South Bank & Trust,36118.0,90.16696580343199
70854.0,MOREBANK,MOREBANK,3-0000057871,,,,
70872.0,AMERICAN SOUTHERN BANK,AMERICAN SOUTHERN BANK,3-0000057943,,,,
70885.0,INDUS AMERICAN BANK,INDUS AMERICAN BANK,3-0000057983,,,,
70886.0,BANK OF AUBURN HILLS,BANK OF AUBURN HILLS,3-0000057984,,,,
70888.0,SERVIS FIRST BANK,SERVIS FIRST BANK,3-0000057993,,,,
70894.0,INDEPENDENT BANK OF AUSTIN  SS,INDEPENDENT BANK OF AUSTIN  SS,3-0000058014,,,,
70897.0,CORONADO FIRST BANK,CORONADO FIRST BANK,3-0000058019,,,,
70899.0,THE FIRST BEXLEY BANK,THE FIRST BEXLEY BANK,3-0000058022,,,,
70903.0,HIGHLANDS STATE BANK,HIGHLANDS STATE BANK,3-0000058048,Richland State Bank,Richland State Bank,89466.0,84.13717499726829
70908.0,WATERFORD VILLAGE BANK,WATERFORD VILLAGE BANK,3-0000058065,Waterford Village Bank,WATERFORD VILLAGE BANK,62734.0,100.0
70912.0,FLINT COMMUNITY BANK,FLINT COMMUNITY BANK,3-0000058074,F&M Community Bank,F&M Community Bank,147261.0,80.28640207932752
70919.0,GREYSTONE BANK,GREYSTONE BANK,3-0000058094,,,,
70921.0,BANK OF BIRMINGHAM,BANK OF BIRMINGHAM,3-0000058101,,,,
70924.0,RIVERLAND BANK,RIVERLAND BANK,3-0000058106,RiverWind Bank,RiverWind Bank,178961.0,81.528069030202
70925.0,FORTUNE BANK,FORTUNE BANK,3-0000058107,,,,
70926.0,FLAGSHIP COMMUNITY BANK,FLAGSHIP COMMUNITY BANK,3-0000058113,Flagship Community Bank,Flagship Community Bank,83726.0,100.0
70927.0,BANK OF BELLEVILLE,BANK OF BELLEVILLE,3-0000058114,Bank Of Belleville,Bank Of Belleville,101246.0,100.0
70932.0,PATRIOT COMMUNITY BANK,PATRIOT COMMUNITY BANK,3-0000058133,,,,
70934.0,VANTAGESOUTH BANK,VANTAGESOUTH BANK,3-0000058136,,,,
70939.0,BANKGREENVILLE,BANKGREENVILLE,3-0000058157,Bankgreenville,Bankgreenville,63659.0,100.0
70942.0,BELMONT BANK AND TRUST,BELMONT BANK AND TRUST,3-0000058165,,,,
70949.0,METRO CITY BANK,METRO CITY BANK,3-0000058181,,,,
70950.0,BANK OF VALDOSTA,BANK OF VALDOSTA,3-0000058185,,,,
70954.0,BEARTOOTH BANK,BEARTOOTH BANK,3-0000058199,,,,
70955.0,OMNI BANK OF BATON ROUGE,OMNI BANK OF BATON ROUGE,3-0000058202,,,,
70960.0,SUNRISE BANK OF ATLANTA,SUNRISE BANK OF ATLANTA,3-0000058211,,,,
70962.0,INSIGHT BANK,INSIGHT BANK,3-0000058215,,,,
70963.0,FRIENDLY HILLS BANK,FRIENDLY HILLS BANK,3-0000058218,,,,
70964.0,SUTTER COMMUNITY BANK,SUTTER COMMUNITY BANK,3-0000058221,Tower Community Bank,Tower Community Bank,167887.0,81.68931834008511
70965.0,CREEKSIDE BANK,CREEKSIDE BANK,3-0000058226,,,,
70973.0,PATRIOT STATE BANK,PATRIOT STATE BANK,3-0000058248,Marion State Bank,Marion State Bank,84866.0,80.96700827821802
70974.0,TEXAS ENTERPRISE BANK,TEXAS ENTERPRISE BANK,3-0000058249,,,,
70976.0,DARIEN ROWAYTON BANK,DARIEN ROWAYTON BANK,3-0000058257,Darien Rowayton Bank,Darien Rowayton Bank,45567.0,100.0
70977.0,GLOBAL BANK,GLOBAL BANK,3-0000058263,,,,
70979.0,BANK OF CAPE COD,BANK OF CAPE COD,3-0000058270,,,,
70983.0,EVANSVILLE COMMERCE BANK,EVANSVILLE COMMERCE BANK,3-0000058279,,,,
70987.0,AQUESTA BANK,AQUESTA BANK,3-0000058296,,,,
70989.0,COLUMBUS COMMUNITY BANK,COLUMBUS COMMUNITY BANK,3-0000058299,,,,
70990.0,CONGAREE STATE BANK,CONGAREE STATE BANK,3-0000058301,Congaree State Bank,Congaree State Bank,82898.0,100.0
70992.0,SAN DIEGO PRIVATE BANK,SAN DIEGO PRIVATE BANK,3-0000058304,Coronado First Bank,San Diego Private Bank,62036.0,100.0
70993.0,THE BANK OF GREENWICH,THE BANK OF GREENWICH,3-0000058307,,,,
70994.0,HAVEN TRUST BANK FLORIDA,HAVEN TRUST BANK FLORIDA,3-0000058308,,,,
70996.0,TEXAS LEADERSHIP BANK,TEXAS LEADERSHIP BANK,3-0000058312,,,,
70997.0,COMMUNITY SOUTHERN BANK,COMMUNITY SOUTHERN BANK,3-0000058313,,,,
70998.0,ROCKBRIDGE COMMERCIAL BANK,ROCKBRIDGE COMMERCIAL BANK,3-0000058315,,,,
70999.0,INVESTAR BANK,INVESTAR BANK,3-0000058316,Investar Bank,Investar Bank,65706.0,100.0
71001.0,NEW RESOURCE BANK,NEW RESOURCE BANK,3-0000058329,,,,
71002.0,FLORIDA SHORES BANK-SOUTHEAST,FLORIDA SHORES BANK-SOUTHEAST,3-0000058331,,,,
71005.0,PREMIER CMNTY BK OF THE EMERAL,PREMIER CMNTY BK OF THE EMERAL,3-0000058343,Premier Community Bank Of The Emerald Coast,Premier Community Bank Of The Emerald Coast,109208.0,81.95426355342383
71007.0,AMERICAS UNITED BANK,AMERICAS UNITED BANK,3-0000058360,American United Bank,American United Bank,44540.0,93.99716842903295
71009.0,DESTIN FIRST BANK,DESTIN FIRST BANK,3-0000058370,DestinFirst Bank,DestinFirst Bank,73614.0,95.73256343524082
71010.0,SABAL PALM BANK,SABAL PALM BANK,3-0000058372,Sabal Palm Bank,Sabal Palm Bank,202507.0,100.0
71011.0,PRIVATE BANK OF BUCKHEAD,PRIVATE BANK OF BUCKHEAD,3-0000058380,,,,
71012.0,KEYSTONE BANK - AUBURN,KEYSTONE BANK - AUBURN,3-0000058382,,,,
71014.0,INSIGNIA BANK,INSIGNIA BANK,3-0000058387,,,,
71015.0,HAMPSHIRE FIRST BANK,HAMPSHIRE FIRST BANK,3-0000058394,,,,
71016.0,WYOMING STATE BANK,WYOMING STATE BANK,3-0000058395,,,,
71019.0,WESTBOUND BANK,WESTBOUND BANK,3-0000058417,Westbound Bank,Westbound Bank,90598.0,100.0
71021.0,ALMA BANK,ALMA BANK,3-0000058424,AMA Bank,AMA Bank,100672.0,90.13078857248415
71022.0,USAMERIBANK,USAMERIBANK,3-0000058427,US AmeriBank,USAmeriBank Inc,90286.0,82.74064187268957
71023.0,LEWIS & CLARK BANK,LEWIS & CLARK BANK,3-0000058428,,,,
71025.0,CAROLINA ALLIANCE BANK,CAROLINA ALLIANCE BANK,3-0000058432,Carolina Alliance Bank,Carolina Alliance Bank,64054.0,100.0
71027.0,COLUMBUS FIRST BANK,COLUMBUS FIRST BANK,3-0000058445,,,,
71029.0,TREASURE STATE BANK,TREASURE STATE BANK,3-0000058454,,,,
71030.0,TRISTATE CAPITAL BANK,TRISTATE CAPITAL BANK,3-0000058457,,,,
71031.0,SUMMIT BANK AND TRUST,SUMMIT BANK AND TRUST,3-0000058458,,,,
71032.0,CAPITAL BANK OF NEW JERSEY,CAPITAL BANK OF NEW JERSEY,3-0000058464,,,,
71034.0,KEYSOURCE COMMERCIAL BANK,KEYSOURCE COMMERCIAL BANK,3-0000058475,KeySource Commercial,KeySource Commercial Bank,94176.0,100.0
71036.0,PEGASUS BANK,PEGASUS BANK,3-0000058483,,,,
71038.0,FIRST PRIVATE BANK OF TEXAS,FIRST PRIVATE BANK OF TEXAS,3-0000058497,,,,
71039.0,MIDCOAST COMMUNITY BANK,MIDCOAST COMMUNITY BANK,3-0000058498,,,,
71040.0,GATEWAY BANK OF CENTRAL FLORID,GATEWAY BANK OF CENTRAL FLORID,3-0000058506,,,,
71041.0,FRONTIER BANK OF TEXAS,FRONTIER BANK OF TEXAS,3-0000058509,Frontier Bank,Frontier Bank,1681.0,80.1894375963355
71042.0,HANCOCK BANK OF ALABAMA,HANCOCK BANK OF ALABAMA,3-0000058510,,,,
71043.0,THE BANK OF PRINCETON,THE BANK OF PRINCETON,3-0000058513,Morebank,Bank Of Princeton,54324.0,100.0
71044.0,LARIMER BANK OF COMMERCE,LARIMER BANK OF COMMERCE,3-0000058521,,,,
71045.0,GEORGIA PRIMARY BANK,GEORGIA PRIMARY BANK,3-0000058523,,,,
71047.0,SHAMROCK BANK OF FLORIDA,SHAMROCK BANK OF FLORIDA,3-0000058553,,,,
71048.0,GOLD COAST BANK,GOLD COAST BANK,3-0000058556,Gulf Coast Bank,Gulf Coast Bank,125003.0,82.3764647175853
71049.0,CNLBANK SOUTHWEST FLORIDA,CNLBANK SOUTHWEST FLORIDA,3-0000058557,,,,
